GTQ,Guatemalan quetzal,Q,2,COMMA,SPACE
GYD,Guyanese dollar,$,2,PERIOD,COMMA
HKD,Hong Kong dollar,$,2,PERIOD,COMMA
HNL,Honduran lempira,L,2,COMMA,SPACE
HRK,Croatian kuna,kn,2,COMMA,SPACE
HTG,Haitian gourde,HTG,2,PERIOD,COMMA
HUF,Hungarian forint,Ft,2,COMMA,SPACE
IDR,Indonesian rupiah,Rp,0,COMMA,SPACE
ILS,Israeli new sheqel,₪,2,PERIOD,COMMA
INR,Indian rupee,IN₨,2,PERIOD,COMMA
IQD,Iraqi dinar,IQD,0,PERIOD,COMMA
IRR,Iranian rial,﷼,0,PERIOD,COMMA
ISK,Icelandic króna,kr,0,COMMA,SPACE
JMD,Jamaican dollar,J$,2,PERIOD,COMMA
JOD,Jordanian dinar,JOD,3,PERIOD,COMMA
JPY,Japanese yen,¥,0,PERIOD,COMMA
KES,Kenyan shilling,KES,2,PERIOD,COMMA
KGS,Kyrgyzstani som,KGS,2,PERIOD,COMMA
KHR,Cambodian riel,៛,2,PERIOD,COMMA
KMF,Comoro franc,CF,0,PERIOD,COMMA
KPW,North Korean won,₩,0,PERIOD,COMMA
KRW,South Korean won,₩,0,PERIOD,COMMA
KWD,Kuwaiti dinar,KWD,3,PERIOD,COMMA
KYD,Cayman Islands dollar,$,2,PERIOD,COMMA
KZT,Kazakhstani tenge,〒,2,COMMA,SPACE
LAK,Lao kip,₭,0,PERIOD,COMMA
LBP,Lebanese pound,£,0,PERIOD,COMMA
LKR,Sri Lanka rupee,₨,2,PERIOD,COMMA
LRD,Liberian dollar,$,2,PERIOD,COMMA
LSL,Lesotho loti,M,2,PERIOD,COMMA
LTL,Lithuanian litas,Lt,2,COMMA,SPACE
LVL,Latvian lats,Ls,2,COMMA,SPACE
LYD,Libyan dinar,LD,3,PERIOD,COMMA
MAD,Moroccan dirham,MD,2,PERIOD,COMMA
MDL,Moldovan leu,MDL,2,PERIOD,COMMA
MGA,Malagasy ariary,MGA,2,PERIOD,COMMA
MKD,Macedonian denar,ден,2,PERIOD,COMMA
MMK,Myanma kyat,K,0,PERIOD,COMMA
MNT,Mongolian tugrik,₮,2,PERIOD,COMMA
MOP,Macanese pataca,MOP,1,PERIOD,COMMA
MRO,Mauritanian ouguiya,MRO,2,PERIOD,COMMA
MUR,Mauritian rupee,₨,2,PERIOD,COMMA
MVR,Maldivian rufiyaa,MRf,2,PERIOD,COMMA
MWK,Malawian kwacha,MK,2,PERIOD,COMMA
MXN,Mexican peso,$,2,PERIOD,COMMA
MYR,Malaysian ringgit,RM,2,PERIOD,COMMA
MZN,Mozambican metical,MT,2,COMMA,SPACE
NAD,Namibian dollar,$,2,COMMA,SPACE
NGN,Nigerian naira,₦,2,PERIOD,COMMA
NIO,Cordoba oro,C$,2,PERIOD,COMMA
NOK,Norwegian krone,kr,2,COMMA,SPACE
NPR,Nepalese rupee,₨,2,PERIOD,COMMA
NZD,New Zealand dollar,$,2,PERIOD,COMMA
OMR,Omani rial,﷼,3,PERIOD,COMMA
PAB,Panamanian balboa,B/.,2,PERIOD,COMMA
PEN,Peruvian nuevo sol,S/.,2,PERIOD,COMMA
PGK,Papua New Guinean kina,K,2,PERIOD,COMMA
PHP,Philippine peso,Php,2,PERIOD,COMMA
PKR,Pakistani rupee,₨,2,PERIOD,COMMA
PLN,Polish złoty,zł,2,COMMA,SPACE
PYG,Paraguayan guaraní,Gs,0,PERIOD,COMMA
QAR,Qatari rial,﷼,2,PERIOD,COMMA
RON,Romanian new leu,lei,2,COMMA,SPACE
RSD,Serbian dinar,Дин.,2,PERIOD,COMMA
RUB,Russian rouble,руб,2,PERIOD,NONE
RWF,Rwandan franc,RF,0,PERIOD,COMMA
SAR,Saudi riyal,﷼,2,PERIOD,COMMA
SBD,Solomon Islands dollar,$,2,PERIOD,COMMA
SCR,Seychelles rupee,₨,2,PERIOD,COMMA
SDG,Sudanese pound,SDG,2,PERIOD,COMMA
SEK,Swedish krona/kronor,kr,2,COMMA,SPACE
SGD,Singapore dollar,S$,2,PERIOD,COMMA
SHP,Saint Helena pound,£,2,PERIOD,COMMA
SLL,Sierra Leonean leone,SLL,0,PERIOD,COMMA
SOS,Somali shilling,S,2,PERIOD,COMMA
SRD,Surinamese dollar,$,2,PERIOD,COMMA
STD,São Tomé and Príncipe dobra,STD,0,PERIOD,COMMA
SYP,Syrian pound,£,2,COMMA,SPACE
SZL,Lilangeni,E,2,COMMA,SPACE
THB,Thai baht,฿,2,PERIOD,COMMA
TJS,Tajikistani somoni,TJS,2,PERIOD,COMMA
TMT,Turkmenistani manat,TMT,2,PERIOD,COMMA
TND,Tunisian dinar,TND,3,PERIOD,COMMA
TOP,Tongan paʻanga,TOP,2,PERIOD,COMMA
TRY,Turkish lira,TL,2,COMMA,SPACE
TTD,Trinidad and Tobago dollar,TT$,2,PERIOD,COMMA
TWD,New Taiwan dollar,NT$,2,PERIOD,COMMA
TZS,Tanzanian shilling,TZS,2,PERIOD,COMMA
UAH,Ukrainian hryvnia,₴,2,COMMA,SPACE
UGX,Ugandan shilling,USh,0,PERIOD,COMMA
USD,United States dollar,$,2,PERIOD,COMMA
UYU,Uruguayan peso,$U,2,PERIOD,COMMA
UZS,Uzbekistan som,UZS,2,PERIOD,COMMA
VEF,Venezuelan bolívar fuerte,Bs,2,COMMA,SPACE
VND,Vietnamese đồng,₫,0,COMMA,SPACE
VUV,Vanuatu vatu,VUV,0,PERIOD,COMMA
WST,Samoan tala,WST,2,PERIOD,COMMA
XAF,CFA franc BEAC,FCFA,0,PERIOD,COMMA
XCD,East Caribbean dollar,$,2,PERIOD,COMMA
XDR,Special Drawing Rights,XDR,2,PERIOD,COMMA
XPF,CFP franc,F,0,PERIOD,COMMA
YER,Yemeni rial,﷼,2,PERIOD,COMMA
ZAR,South African rand,R,2,COMMA,SPACE
ZMK,Zambian kwacha,ZMK,2,PERIOD,COMMA
ZWL,Zimbabwe dollar,Z$,2,PERIOD,COMMA
